Pango.lineage	APES	Collection.date	APESS	APESS.
668	B.1.1.506	0	2020-05-14	0	0.000684460738124483
669	B.1.1.507	0	2020-10-27	0	0.000684460738124483
670	B.1.1.51	0	2020-08-01	0	0.00044320508349633
671	B.1.1.512	0	2020-07-23	0	0.00044320508349633
672	B.1.1.513	0	2020-04-22	0	0.000684460738124483
673	B.1.1.514	0	2020-05-01	0	0.000684460738124483
674	B.1.1.515	0	2020-03-16	0	0.000684460738124483
675	B.1.1.516	0	2020-07-01	0	0.00077601479455812
676	B.1.1.517	0	2020-12-19	0	0.000699907429651369
677	B.1.1.518	0	2021-03-12	0	0.000607601860154947
678	B.1.1.519	0	2021-03-21	0	-0.0007515183617705
679	B.1.1.52	0	2020-12-22	0	0.000684460738124483
680	B.1.1.521	0	2021-02-13	0	0.000272184079753733
681	B.1.1.522	0	2021-03-07	0	-0.000639854352233751
683	B.1.1.524	-0.7015	2021-03-21	-9e-04	-0.011963903144732
685	B.1.1.526	0	2020-10-21	0	-0.000752882470516117
686	B.1.1.528	-0.7015	2021-05-31	-0.0065	-0.0141327572775361
687	B.1.1.529	-3.5307	2022-03-06	-0.0141	-0.0157354929158298
688	B.1.1.53	0	2020-06-17	0	0.000277419628318743
690	B.1.1.55	0	2020-04-30	0	0.000640357461858179
691	B.1.1.56	0	2020-07-10	0	0.000179469635032209
692	B.1.1.57	0	2020-10-07	0	0.00103649057033397
693	B.1.1.58	0	2021-02-11	0	0.000572006300500045
694	B.1.1.59	0	2020-06-16	0	0.000684460738124483
695	B.1.1.61	0	2020-03-07	0	0.000684460738124483
696	B.1.1.62	0	2020-06-12	0	0.000684460738124483
698	B.1.1.67	0	2020-12-30	0	0.000717253096511562
700	B.1.1.70	0	2020-12-14	0	7.81240152372403e-05
701	B.1.1.71	0	2020-04-30	0	0.000684460738124483
702	B.1.1.72	0	2020-12-31	0	0.00105338457963498
703	B.1.1.74	0	2020-08-21	0	0.000684460738124483
704	B.1.1.75	0	2020-06-06	0	0.000607601860154947
705	B.1.1.77	0	2020-07-16	0	0.000684460738124483
706	B.1.1.8	0	2020-03-28	0	0.000684460738124483
707	B.1.1.82	0	2020-04-13	0	0.000684460738124483
708	B.1.1.83	0	2020-05-02	0	0.000684460738124483
709	B.1.1.84	0	2020-06-25	0	0.000607601860154947
710	B.1.1.86	0	2020-06-14	0	0.000684460738124483
711	B.1.1.87	0	2020-04-28	0	0.000327399844605152
712	B.1.1.88	0	2020-03-25	0	0.000684460738124483
713	B.1.1.89	0	2020-05-02	0	0.000684460738124483
714	B.1.1.90	0	2020-06-29	0	0.000684460738124483
